2162	2160
1:2360001-28080000	0.386416564339247	0.4424354195953
1:32720001-248900000	0.560429964259671	0.640089061210388
2:1-242040000	0.581850322830996	0.660754913966598
3:23580001-91320000	0.361928842333394	0.409626492106276
3:93840001-147160000	0.477827747956865	0.528169325261809
3:147180001-197960000	0.660802289226856	0.75545943154123
4:120001-49020000	0.314289432587194	0.376367528143333
4:51800001-189980000	0.475103244837758	0.54559748427673
5:43140001-180920000	0.588014834291545	0.673388277622056
6:400001-39100000	0.410906481702942	0.444437968966271
6:60620001-170580000	0.49093818371812	0.633214310579764
7:20001-1.04e+08	0.64649667001186	0.726769388946008
7:104260001-156820000	0.269358407079646	0.292621293800539
8:85820001-144960000	0.870236136434384	0.940064202413686
9:260001-138100000	0.545414953661766	0.624758579705839
10:40001-133480000	0.536099833486127	0.620407674817504
11:340001-45640000	0.423428828558572	0.485099060410861
11:46560001-135020000	0.631782945736434	0.713669320295033
12:60001-133240000	0.699287266175613	0.776445760769566
13:15980001-114240000	0.523854473942969	0.593698712189278
14:38440001-84560000	0.598972901095878	0.666424591148416
15:22780001-101840000	0.540486153986874	0.614799027699423
16:20001-34040000	0.572632592860153	0.647881254927847
16:46400001-89880000	0.595285013077281	0.691631109704595
17:200001-21600000	0.358524137285199	0.409746288452488
17:42480001-83180000	0.608257929800139	0.699847057754626
19:7060001-24160000	0.671357998365142	0.751404539992856
19:27400001-58440000	0.693287768647282	0.760998267231421
20:140001-62360000	0.598526022251942	0.675163155112194
22:11560001-50720000	0.579556928193859	0.663000416071202
FO538757.2	0.247787610619469	0.293800539083558
AP006222.2	0.0265486725663717	0.0970350404312668
RP4-669L17.10	0.0353982300884956	0.0188679245283019
RP11-206L10.9	0.0353982300884956	0.0350404312668464
LINC00115	0.0176991150442478	0.0161725067385445
FAM41C	0.00884955752212389	0.0161725067385445
RP11-54O7.1	0.0707964601769911	0.102425876010782
RP11-54O7.2	0	0.0107816711590297
SAMD11	0.00884955752212389	0.0134770889487871
NOC2L	1.15044247787611	1.1644204851752
KLHL17	0.0619469026548673	0.0350404312668464
PLEKHN1	0.168141592920354	0.196765498652291
RP11-54O7.17	0.176991150442478	0.161725067385445
HES4	2.55752212389381	2.93800539083558
ISG15	1.91150442477876	2.28840970350404
AGRN	0.707964601769911	1.06469002695418
RNF223	0.150442477876106	0.204851752021563
C1orf159	0.123893805309735	0.148247978436658
RP11-465B22.8	0.0707964601769911	0.0808625336927224
TTLL10	0.0176991150442478	0.0350404312668464
SDF4	1.08849557522124	1.37466307277628
B3GALT6	0.176991150442478	0.188679245283019
FAM132A	0.00884955752212389	0.0161725067385445
UBE2J2	0.707964601769911	0.638814016172507
SCNN1D	0	0.0134770889487871
ACAP3	0.31858407079646	0.309973045822102
PUSL1	0.283185840707965	0.291105121293801
CPSF3L	0.238938053097345	0.37466307277628
CPTP	0.123893805309735	0.137466307277628
DVL1	0.31858407079646	0.320754716981132
AURKAIP1	3.97345132743363	4.4366576819407
CCNL2	0.265486725663717	0.417789757412399
MRPL20	2.61061946902655	3.18059299191375
VWA1	0.274336283185841	0.326145552560647
ATAD3C	0.0353982300884956	0.0134770889487871
ATAD3B	0.274336283185841	0.363881401617251
ATAD3A	0.52212389380531	0.479784366576819
SSU72	2.20353982300885	2.80323450134771
RP5-832C2.5	0.0353982300884956	0.045822102425876
C1orf233	0.132743362831858	0.1455525606469
RP11-345P4.9	0.0176991150442478	0.0215633423180593
MIB2	0.628318584070796	0.609164420485175
CDK11B	0.309734513274336	0.409703504043127
SLC35E2B	0.15929203539823	0.185983827493261
CDK11A	0.230088495575221	0.328840970350404
SLC35E2	0.0176991150442478	0.0215633423180593
NADK	0.15929203539823	0.221024258760108
GNB1	0.955752212389381	1.17250673854447
TMEM52	0.274336283185841	0.231805929919137
PRKCZ	0.283185840707965	0.358490566037736
RP5-892K4.1	0	0.0269541778975741
FAAP20	1.54867256637168	1.76549865229111
SKI	0.265486725663717	0.315363881401617
MORN1	0.0442477876106195	0.0404312668463612
RER1	0.920353982300885	0.959568733153639
PEX10	0.106194690265487	0.150943396226415
PLCH2	0.0176991150442478	0.0269541778975741
PANK4	0.00884955752212389	0.0296495956873315
RP3-395M20.12	0.0530973451327434	0.0862533692722372
TNFRSF14	0.0707964601769911	0.0592991913746631
FAM213B	0.309734513274336	0.274932614555256
MMEL1	0.0442477876106195	0.0646900269541779
ARHGEF16	0.168141592920354	0.15633423180593
MEGF6	0.0530973451327434	0.0700808625336927
TPRG1L	0.20353982300885	0.215633423180593
WRAP73	0.0884955752212389	0.161725067385445
TP73	0.0973451327433628	0.0997304582210243
SMIM1	0	0.00539083557951483
LRRC47	0.20353982300885	0.207547169811321
CEP104	0.0884955752212389	0.210242587601078
DFFB	0.00884955752212389	0.0188679245283019
C1orf174	0.265486725663717	0.274932614555256
LINC01134	0.0530973451327434	0.0431266846361186
NPHP4	0.0442477876106195	0.0619946091644205
KCNAB2	0.0619469026548673	0.0835579514824798
RPL22	5.97345132743363	5.95956873315364
RNF207	0.327433628318584	0.339622641509434
ICMT	0.238938053097345	0.280323450134771
GPR153	0.0353982300884956	0.0485175202156334
ACOT7	0.619469026548673	0.800539083557951
HES2	0.115044247787611	0.0700808625336927
ESPN	0.0265486725663717	0.0431266846361186
TNFRSF25	0.0619469026548673	0.0646900269541779
PLEKHG5	0.0619469026548673	0.0512129380053908
NOL9	0.176991150442478	0.16711590296496
ZBTB48	0.0442477876106195	0.0404312668463612
KLHL21	0.0530973451327434	0.0700808625336927
PHF13	0.0619469026548673	0.078167115902965
THAP3	0.168141592920354	0.0754716981132075
DNAJC11	0.123893805309735	0.0943396226415094
CAMTA1	1.15044247787611	1.31536388140162
VAMP3	0.20353982300885	0.288409703504043
PER3	0.345132743362832	0.304582210242588
PARK7	3.36283185840708	3.67385444743935
ERRFI1	0.0619469026548673	0.121293800539084
RERE	0.433628318584071	0.566037735849057
ENO1	3.15044247787611	3.31266846361186
GPR157	0.115044247787611	0.118598382749326
MIR34AHG	0.0176991150442478	0.0134770889487871
RP3-510D11.2	0.0353982300884956	0.00808625336927224
H6PD	0.0176991150442478	0.0377358490566038
SPSB1	0.0530973451327434	0.0539083557951483
SLC25A33	0.265486725663717	0.37466307277628
TMEM201	0.132743362831858	0.140161725067385
PIK3CD-AS2	0	0.00539083557951483
CLSTN1	0.601769911504425	0.703504043126685
